state,Biden/HarrisDemocratic,Trump/PenceRepublican,Jorgensen/CohenLibertarian,Hawkins/WalkerGreen,Others
AL,0,9,0,0,0
AK,0,3,0,0,0
AZ,11,0,0,0,0
AR,0,6,0,0,0
CA,55,0,0,0,0
CO,9,0,0,0,0
CT,7,0,0,0,0
DE,3,0,0,0,0
DC,3,0,0,0,0
FL,0,29,0,0,0
GA,16,0,0,0,0
HI,4,0,0,0,0
ID,0,4,0,0,0
IL,20,0,0,0,0
IN,0,11,0,0,0
IA,0,6,0,0,0
KS,0,6,0,0,0
KY,0,8,0,0,0
LA,0,8,0,0,0
ME,3,1,0,0,0
MD,10,0,0,0,0
MA,11,0,0,0,0
MI,16,0,0,0,0
MN,10,0,0,0,0
MS,0,6,0,0,0
MO,0,10,0,0,0
MT,0,3,0,0,0
NE,1,4,0,0,0
NV,6,0,0,0,0
NH,4,0,0,0,0
NJ,14,0,0,0,0
NM,5,0,0,0,0
NY,29,0,0,0,0
NC,0,15,0,0,0
ND,0,3,0,0,0
OH,0,18,0,0,0
OK,0,7,0,0,0
OR,7,0,0,0,0
PA,20,0,0,0,0
RI,4,0,0,0,0
SC,0,9,0,0,0
SD,0,3,0,0,0
TN,0,11,0,0,0
TX,0,38,0,0,0
UT,0,6,0,0,0
VT,3,0,0,0,0
VA,13,0,0,0,0
WA,12,0,0,0,0
WV,0,5,0,0,0
WI,10,0,0,0,0
WY,0,3,0,0,0
